energy,magnetization
<<<<<<< HEAD
-120,-4
-168,8
-152,-2
-144,-8
-144,0
-152,-38
-144,26
-160,-10
-160,-48
-136,-4
-144,14
-160,14
-152,-2
-152,18
-144,-44
-144,-16
-168,54
-152,32
-128,-8
-152,-18
-152,18
-168,42
-144,-6
-152,0
-160,18
-168,-14
-168,-30
-160,-8
-152,-18
-160,6
-152,-8
-152,0
-160,18
-144,18
-152,-38
-160,32
-168,30
-160,-32
-152,4
-152,-18
-144,-10
-152,8
-136,4
-160,6
-128,46
-160,-10
-168,22
-144,-16
-152,-14
-144,8
-176,58
-152,20
-168,-20
-176,-38
-128,-8
-136,62
-152,2
-128,-20
-128,30
-176,6
-144,20
-160,34
-144,20
-168,-4
-136,-8
-136,-56
-144,-8
-160,6
-136,-28
-168,26
-152,-12
-152,-10
-144,-22
-136,16
-144,-20
-160,-16
-168,38
-160,-26
-160,20
-152,-38
-160,50
-160,-42
-144,6
-160,-10
-144,-20
-160,10
-168,16
-144,-8
-152,24
-160,12
-152,-10
-168,-22
-168,-40
-168,12
-128,-8
-128,-6
-176,62
-152,-34
-144,26
-144,-54
-152,16
-136,-8
-160,2
-152,30
-176,24
-160,36
-176,26
-136,6
-168,-4
-144,-8
-168,-8
-128,8
-144,28
-152,48
-152,-12
-160,0
-128,28
-152,16
-168,34
-144,2
-144,0
-128,26
-144,38
-152,2
-152,42
-176,38
-160,-12
-176,-60
-128,8
-160,-32
-144,-22
-160,16
-152,-32
-144,-4
-144,14
-160,56
-136,4
-128,-26
-128,2
-160,-10
-168,-72
-160,-20
-136,26
-176,-54
-168,-26
-168,10
-144,32
-136,-26
-160,28
-120,32
-160,-32
-136,-34
-176,46
-168,-18
-160,-58
-160,-14
-128,2
-152,8
-136,18
-128,-22
-152,-6
-152,-8
-168,-38
-152,-34
-144,8
-152,-38
-136,2
-168,26
-144,34
-144,-8
-160,4
-144,6
-160,-52
-152,-16
-152,20
-152,18
-160,-4
-168,-12
-152,-46
-136,-18
-144,-14
-152,-58
-168,-26
-144,-38
-160,2
-160,18
-144,0
-152,-12
-168,-58
-160,8
-120,28
-168,0
-160,-32
-152,24
-128,-16
-160,-38
-152,14
-152,6
-152,22
-176,-20
-168,74
-160,-28
-176,62
-160,26
-128,-14
-152,-14
-144,-18
-160,2
-120,-34
-160,24
-136,0
-144,12
-152,-32
-144,-6
-152,4
-136,12
-168,-44
-144,-16
-136,-32
-160,28
-136,-24
-160,2
-168,-20
-160,24
-136,-32
-144,24
-144,-16
-136,6
-160,-18
-152,-20
-160,44
-160,6
-128,-4
-144,-8
-160,52
-152,22
-144,6
-144,30
-152,-16
-144,-14
-136,26
-152,10
-144,-18
-176,-50
-152,42
-152,40
-160,0
-152,12
-144,-10
-168,-20
-176,20
-152,-4
-136,-54
-144,-22
-136,-18
-144,-8
-168,-48
-136,-4
-152,24
-160,-24
-152,-34
-144,2
-184,80
-152,32
-160,18
-144,6
-152,-4
-144,-14
-136,4
-144,12
-136,-26
-184,30
-152,-52
-144,-28
-152,-2
-160,8
-152,-20
-144,-32
-120,18
-136,-10
-160,54
-136,-32
-176,2
-112,-20
-136,-8
-160,14
-160,48
-136,0
-152,24
-152,-40
-168,46
-144,-12
-152,-6
-160,24
-160,-30
-176,-8
-168,32
-152,2
-160,32
-144,8
-160,-22
-152,-10
-168,-28
-176,-32
-152,4
-160,30
-168,8
-160,38
-160,-40
-144,24
-160,10
-168,38
-168,-12
-160,32
-152,6
-168,28
-144,-16
-152,-2
-152,-12
-128,12
-144,16
-144,32
-152,20
-136,-2
-152,26
-144,-10
-136,22
-152,-10
-136,28
-160,-42
-144,10
-152,-22
-168,-24
-160,-14
-176,-18
-136,-22
-136,-24
-160,2
-168,-40
-152,-8
-160,12
-152,-48
-160,-12
-144,-2
-160,-6
-160,-22
-168,2
-168,-4
-136,10
-152,38
-152,-12
-128,-8
-152,46
-152,8
-160,-22
-168,6
-168,46
-160,-54
-144,18
-160,-18
-168,-40
-144,-2
-136,-12
-160,20
-168,-22
-136,-10
-144,-4
-144,-16
-128,8
-168,48
-160,-42
-144,-2
-152,-40
-144,32
-152,14
-160,32
-152,-38
-160,36
-144,-58
-128,20
-160,-12
-160,6
-144,28
-160,-26
-160,8
-136,2
-176,-2
-136,16
-144,32
-152,-10
-168,16
-144,-18
-144,10
-152,-16
-160,2
-184,54
-144,-22
-176,6
-152,-10
-152,-42
-152,-24
-144,-32
-128,12
-152,8
-144,-4
-144,52
-168,32
-160,2
-160,20
-160,-10
-160,-14
-144,-22
-152,16
-144,10
-152,38
-144,-38
-152,-4
-176,62
-144,0
-136,22
-160,8
-104,8
-168,30
-160,4
-144,-18
-136,-14
-144,-10
-128,-40
-176,-20
-144,50
-168,20
-168,16
-152,-20
-152,-20
-144,32
-144,-32
-160,-20
-176,-34
-152,-6
-160,22
-152,2
-152,18
-152,28
-160,10
-152,-52
-144,-10
-176,24
-144,72
-152,-12
-152,8
-168,20
-160,-60
-160,54
-160,14
-160,18
-144,0
-128,12
-152,-8
-160,-4
-160,72
-152,-2
-160,18
-152,22
-160,-18
-160,18
-152,42
-160,58
-152,6
-136,26
-168,-38
-160,-4
-168,-14
-128,-12
-144,-16
-160,-10
-160,42
-136,36
-160,26
-168,-32
-136,2
-144,-8
-112,-8
-168,42
-176,-32
-144,-16
-176,48
-160,-10
-144,14
-136,66
-144,16
-136,36
-176,12
-176,-44
-120,-28
-176,-14
-168,-6
-160,46
-168,-74
-176,14
-152,-16
-160,-8
-176,-4
-152,-20
-176,10
-152,24
-136,8
-160,16
-168,18
-160,14
-160,4
-160,-18
-128,-16
-144,24
-136,22
-144,2
-144,30
-152,28
-160,44
-152,-16
-144,34
-144,0
-168,26
-144,-10
-144,-10
-144,-14
-168,42
-152,-6
-160,8
-152,26
-136,-8
-160,24
-144,30
-160,-18
-144,-18
-136,6
-160,12
-160,14
-144,0
-168,32
-152,24
-144,-10
-128,36
-160,-12
-168,-22
-136,10
-160,-40
-160,4
-160,-8
-152,10
-144,-34
-152,32
-136,-4
-152,16
-136,-28
-136,22
-160,-24
-144,2
-152,50
-160,14
-136,-10
-136,34
-160,-20
-152,20
-136,18
-152,40
-160,-32
-160,10
-144,-32
-160,-20
-120,-24
-144,-34
-136,-10
-152,-28
-160,24
-136,0
-152,-40
-160,6
-144,44
-136,4
-120,28
-152,-22
-136,-4
-168,22
-168,22
-176,22
-144,6
-152,6
-144,-2
-152,-14
-136,10
-160,-26
-152,-16
-144,28
-144,6
-144,8
-144,-8
-144,-2
-160,-36
-168,-36
-152,-22
-136,-16
-136,38
-144,-2
-144,16
-160,-22
-152,-6
-144,4
-168,-42
-160,10
-160,8
-144,20
-128,-2
-136,16
-144,40
-160,56
-144,-34
-152,-30
-168,-76
-160,-32
-128,-14
-160,-18
-160,8
-136,-20
-136,42
-144,28
-168,40
-160,20
-168,-6
-152,-22
-144,-24
-152,-12
-144,18
-176,-34
-144,8
-160,12
-136,0
-136,-38
-144,-26
-144,12
-152,-26
-128,-18
-160,-46
-144,18
-144,-6
-136,10
-136,4
-168,30
-112,6
-144,22
-152,22
-168,-10
-152,-32
-168,34
-160,-12
-144,58
-152,8
-152,-14
-160,14
-152,22
-144,28
-168,24
-176,-14
-112,14
-160,52
-160,-36
-136,-18
-168,-32
-168,0
-152,-12
-160,10
-144,8
-152,-30
-136,-2
-136,-16
-168,30
-152,-42
-152,56
-152,-18
-160,-26
-152,2
-144,8
-176,46
-152,-8
-152,-2
-168,-18
-144,0
-152,-34
-152,20
-152,18
-160,32
-152,-14
-152,0
-152,-10
-152,-2
-144,-34
-152,20
-152,50
-160,-10
-168,12
-128,8
-152,26
-152,18
-160,44
-128,-36
-152,20
-152,-48
-176,32
-128,28
-152,36
-160,32
-136,-40
-160,14
-168,30
-168,-50
-144,-6
-160,8
-152,-2
-160,-36
-176,0
-160,-8
-120,6
-128,4
-176,-12
-160,2
-136,24
-160,18
-128,28
-176,0
-160,-28
-152,26
-144,2
-160,24
-176,-14
-168,28
-144,-48
-144,-20
-152,-12
-160,-52
-144,-12
-160,46
-160,56
-160,-4
-152,10
-160,52
-160,-12
-160,16
-160,-30
-168,-48
-160,-2
-152,-48
-160,18
-176,-14
-144,-14
-160,-40
-144,12
-152,26
-168,-4
-160,12
-152,-38
-128,30
-136,-18
-152,38
-144,0
-152,20
-152,-4
-144,16
-152,-28
-168,-20
-168,10
-168,-14
-168,16
-152,-22
-168,56
-136,-46
-168,10
-152,22
-152,26
-152,-34
-144,-24
-152,-12
-144,-12
-160,46
-152,2
-184,-38
-152,-4
-152,18
-168,-46
-168,28
-168,64
-144,-36
-144,-30
-144,-54
-152,0
-176,-6
-152,-22
-136,0
-152,-26
-152,4
-112,-18
-152,6
-152,-2
-152,-38
-168,-32
-128,-30
-168,42
-136,-12
-144,38
-128,18
-160,32
-160,18
-176,16
-160,28
-136,14
-160,12
-144,-20
-144,-26
-160,34
-152,-10
-160,18
-160,44
-144,8
-136,-26
-136,2
-152,-14
-144,-4
-160,-20
-176,-34
-168,-38
-160,-18
-144,-30
-160,-40
-144,12
-144,10
-144,12
-144,-26
-136,-2
-168,16
-136,-40
-144,-22
-152,-28
-144,32
-160,-34
